Type,ID,Label,Parent,Plant structure,Text definition,Superclass of,Equivalent to,Ignore,Notes,Plant type
Class,PPO:0002329,'senesced floral structures present','senesced floral structure presence','senesced floral structure',A {'senesced floral structure presence'} trait that is a {quality of} a {whole plant} that has at least one {'senesced floral structure'}.,"'senesced floral structure presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'senesced floral structure'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'senesced floral structure'
)",,,
Class,PPO:0002330,'flowers present','flower presence',PO:'flower',A {'flower presence'} trait that is a {quality of} a {whole plant} that has at least one {PO:'flower'}.,"'flower presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME PO:'flower'
) AND 'depends on structure' SOME (
    'has visible part' SOME PO:'flower'
)",,,
Class,PPO:0002331,'non-senesced flowers present','non-senesced flower presence','non-senesced flower',A {'non-senesced flower presence'} trait that is a {quality of} a {whole plant} that has at least one {'non-senesced flower'}.,"'non-senesced flower presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'non-senesced flower'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'non-senesced flower'
)",,,
Class,PPO:0002332,'unopened flowers present','unopened flower presence','unopened flower',An {'unopened flower presence'} trait that is a {quality of} a {whole plant} that has at least one {'unopened flower'}.,"'unopened flower presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'unopened flower'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'unopened flower'
)",,,
Class,PPO:0002333,'open flowers present','open flower presence','open flower',An {'open flower presence'} trait that is a {quality of} a {whole plant} that has at least one {'open flower'}.,"'open flower presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'open flower'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'open flower'
)",,,
Class,PPO:0002334,'pollen-releasing flowers present','pollen-releasing flower presence','pollen-releasing flower',A {'pollen-releasing flower presence'} trait that is a {quality of} a {whole plant} that has at least one {'pollen-releasing flower'}.,"'pollen-releasing flower presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'pollen-releasing flower'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'pollen-releasing flower'
)",,,
Class,PPO:0002335,'senesced flowers present','senesced flower presence','senesced flower',A {'senesced flower presence'} trait that is a {quality of} a {whole plant} that has at least one {'senesced flower'}.,"'senesced flower presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'senesced flower'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'senesced flower'
)",,,
Class,PPO:0002336,'flower heads present','flower head presence',PO:'inflorescence',A {'flower head presence'} trait that is a {quality of} a {whole plant} that has at least one {PO:'inflorescence'}.,"'flower head presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME PO:'inflorescence'
) AND 'depends on structure' SOME (
    'has visible part' SOME PO:'inflorescence'
)",,,
Class,PPO:0002337,'non-senesced flower heads present','non-senesced flower head presence','non-senesced flower head',A {'non-senesced flower head presence'} trait that is a {quality of} a {whole plant} that has at least one {'non-senesced flower head'}.,"'non-senesced flower head presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'non-senesced flower head'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'non-senesced flower head'
)",,,
Class,PPO:0002338,'unopened flower heads present','unopened flower head presence','unopened flower head',An {'unopened flower head presence'} trait that is a {quality of} a {whole plant} that has at least one {'unopened flower head'}.,"'unopened flower head presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'unopened flower head'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'unopened flower head'
)",,,
